"race" "natcrime"
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"Black" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"Black" NA
"Black" NA
"White" NA
"White" NA
"White" NA
"White" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"Black" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
"White" NA
